Year,Wood,Waste,Geothermal,Solar,Wind,Total
1984,10439.716,10439.5346,21303.0056,10480.1829,10477.6579,20174.1267
1985,10446.741,10447.5138,21262.9608,10442.1449,10413.0510,19851.75245
1986,10445.384,10446.0666,21262.9975,10476.0547,10503.7002,20139.32465
1987,10419.0078,10418.7532,21263.03459,10383.91922,10449.0257,19944.84503
1988,10323.8724,10324.3040,21095.95470,10336.48559,10332.9506,19582.13955
1989,13908.9623,16070.9065,21095.98126,10430.92406,10432.0793,17880.94596
1990,15656.1924,15612.7699,21095.97531,10400.80417,10401.9938,17594.49752
1991,14051.1891,15910.2119,20996.97340,10435.28028,10435.9578,17271.38626
1992,14369.9213,16055.4635,20913.97910,10341.80763,10342.0821,17256.50897
1993,14150.8050,15973.6806,20913.99712,10308.09684,10308.9765,17162.40062
1994,14709.3074,16095.0556,20913.97013,10316.01531,10315.8908,17073.048
1995,14332.1832,16055.7389,20914.00839,10311.56090,10312.0705,16917.49988
1996,14428.0801,16035.1800,20959.98488,10339.50173,10339.9154,16988.16855
1997,14016.6991,16200.8141,20959.99335,10213.86315,10213.0908,17003.1263
1998,14236.4839,15505.7350,21016.9706,10197.56285,10196.9927,16800.4256
1999,14497.2432,15414.6472,21016.9776,10226.58873,10225.9404,16559.077
2000,14378.3162,15149.8158,21017.0070,10201.16544,10201.0258,16191.0968
2001,14657.3660,16109.7408,21016.9920,10332.47045,10333.0220,16462.98737
2002,16186.1300,17816.8095,21017.0095,10172.46693,10172.9922,16840.09224
2003,17218.2616,16070.3824,21016.9956,10241.55385,10241.0134,16293.21996
2004,17188.8832,16616.6059,21016.9938,10106.24335,10336.3667,16186.82588
